max_depth,max_features,min_samples_split,min_samples_leaf,fit_time_sec,experiment_id
21,89,3,1,0.13519501686096191,644d995a-3e56-4ae7-b675-ee357dfe7538
3,1597,5,2,0.2504284381866455,ee225cf4-a86b-4121-a8c2-38e88076fc4b
21,1597,3,5,0.23531126976013184,ba5b21aa-4600-4b51-84e9-a192eb08dfcf
89,4181,8,5,0.2838401794433594,b04a02d0-4ffe-435f-aa7e-b09e85794cd0
1597,2584,5,2,0.11955404281616211,63b1165f-8705-48c2-a67f-54ce0a8901d5
89,987,3,3,0.12084197998046875,85cbcd19-9b9b-4f7d-8ffd-38b65b69f421
2,233,13,5,0.13823699951171875,11044dbc-077e-44df-88ab-1744c9208379
55,89,3,3,0.12081670761108398,8686e2ea-c539-4659-a6aa-49354894b58e
144,21,3,3,0.11945748329162598,0ae68b4f-e6a1-4695-93d7-fdd8ea83a6fe
233,987,13,2,0.2068929672241211,aa0e9409-bb5d-4873-a766-6af022afedec
2584,1597,2,1,0.2714693546295166,1359de2e-a76c-43d8-b366-f3e94a0ce9cd
1597,233,3,3,0.13925504684448242,98df2789-4265-4523-b758-93747f7e21d9
